Name,Date,Republican,Democrat,Size
Bloomberg,11/4 - 11/6,43.0,46.0,799
IBD/TIPP Tracking,11/4 - 11/7,42.0,43.0,1107
Economist/YouGov,11/4 - 11/7,45.0,49.0,3669
LA Times/USC Tracking,11/1 - 11/7,47.0,44.0,2935
ABC/Wash Post Tracking,11/3 - 11/6,46.0,49.0,2220
FOX News,11/3 - 11/6,44.0,48.0,1295
Monmouth,11/3 - 11/6,44.0,50.0,748
NBC News/Wall St. Jrnl,11/3 - 11/5,43.0,48.0,1282
CBS News,11/2 - 11/6,43.0,47.0,1426
Reuters/Ipsos,11/2 - 11/6,39.0,44.0,2196
McClatchy/Marist,11/1 - 11/3,44.0,46.0,940
FOX News,11/1 - 11/3,45.0,46.0,1107
NBC News/SM,10/31 - 11/6,44.0,51.0,30145
Reuters/Ipsos,10/31 - 11/4,40.0,44.0,2244
Gravis,10/31 - 10/31,50.0,50.0,5360
Reuters/Ipsos,10/30 - 11/3,39.0,44.0,2021
Economist/YouGov,10/30 - 11/1,45.0,48.0,1233
Reuters/Ipsos,10/29 - 11/2,39.0,45.0,1858
CBS News/NY Times,10/28 - 11/1,44.0,47.0,1333
ABC/Wash Post Tracking,10/27 - 10/30,47.0,48.0,1128
LA Times/USC Tracking,10/25 - 10/31,47.0,43.0,3145
IBD/TIPP Tracking,10/25 - 10/30,43.0,45.0,1013
NBC News/SM,10/24 - 10/30,44.0,51.0,40816
LA Times/USC Tracking,10/22 - 10/28,46.0,44.0,3248
ABC/Wash Post Tracking,10/23 - 10/26,45.0,50.0,1109
Economist/YouGov,10/22 - 10/26,46.0,49.0,1209
FOX News,10/22 - 10/25,44.0,49.0,1221
IBD/TIPP Tracking,10/20 - 10/25,41.0,43.0,921
Pew Research,10/20 - 10/25,43.0,50.0,2120
ABC News Tracking,10/21 - 10/24,43.0,51.0,1119
LA Times/USC Tracking,10/19 - 10/25,45.0,44.0,3145
USA Today/Suffolk,10/20 - 10/24,39.0,49.0,1000
Associated Press-GfK,10/20 - 10/24,41.0,54.0,1212
Reuters/Ipsos,10/20 - 10/24,37.0,43.0,1170
ABC News Tracking,10/20 - 10/23,41.0,53.0,611
